token_addr_idx,token_addr,pair_addr,token_create_ts,lp_create_ts,pair_idx
0,0x71D7Bf0338E52C51Eb15e2ef3Ed182dA3E5c7db0,0x5c8bed9c75301f1f2d7b90cb01267337097d609e,2024-01-18 13:40:11+00:00,2024-01-18 13:40:11+00:00,0
1,0x4894B01F8f67152dD5D6202d063D011278327942,0xd6bad850c645cb8d0ad4e17fc4a3024f775254a3,2024-03-06 07:52:11+00:00,2024-03-06 08:00:23+00:00,0
2,0xe52bDD1fc98cD6c0cd544c0187129c20D4545C7F,0x17ec8923bc576be2587adcdcab8d8de879d11c1d,2024-05-07 22:45:35+00:00,2024-05-07 22:48:11+00:00,1
3,0x52132a43D7cAE69B23abE77B226fA1a5BC66b839,0xe57c1c0df7dca576b732353baa72d8a392f6be4e,2020-08-20 09:45:16+00:00,2020-08-23 13:20:06+00:00,0
4,0x25e0d545b4733E051E2eDCa12ae5B7366D773549,0xdd36f0f687bb33779e6af1d81268444316813f95,2023-12-18 06:35:47+00:00,2023-12-18 06:39:23+00:00,0
5,0xe51D3dE9b81916D383eF97855C271250852eC7B7,0xa718aa1b3f61c2b90a01ab244597816a7ee69fd2,2024-05-26 19:30:11+00:00,2024-05-26 19:30:11+00:00,1
6,0xB4Fc1Fc74EFFa5DC15A031eB8159302cFa4f1288,0xbf1b5753a704b49cff8bc6320d7505aa37a35192,2023-12-08 23:26:47+00:00,2023-12-08 23:57:47+00:00,0
7,0x829d2578aa1B013665e421ae894d055DA2120cC8,0x296a66bf9fcae305dadae225e39ade65785e9bdc,2024-05-03 07:36:23+00:00,2024-05-03 08:09:11+00:00,0
8,0x3acCa56d95961e6100b0F264794Bb1e18eC25824,0x5732ccde3cdea4f553f143d0d03a9c53a86b0e40,2021-06-18 20:59:19+00:00,2021-06-18 21:02:42+00:00,0
9,0x9Cb6DD255A6bbe32130ce645ec45c0A3e9D87A4a,0x2cfdf63fd3050256423f925498dd62143fa4ae49,2024-04-24 15:30:11+00:00,2024-04-24 16:03:47+00:00,0
10,0x1533C795EA2B33999Dd6eff0256640dC3b2415C2,0x3c17e014e83334bdb41fa3254a5986c0eeca25a5,2021-06-17 04:23:55+00:00,2021-06-17 04:26:55+00:00,0
