token_addr_idx,timestamp,block_number,tx_hash,tx_from,tx_to,evt_idx,evt_type,evt_log
1,2023-08-01 14:28:59+00:00,17820753,0x8875e1adaf79801017e936b48941b0be1b1dd2a4031d5bb98066fa5420c36564,0xb95813851c1Cb87da7f0853B9E3e8760A051556C,None,80,Transfer,"{'from': '0x0000000000000000000000000000000000000000', 'to': '0xb95813851c1cb87da7f0853b9e3e8760a051556c', 'value': 100000000.0}"
1,2023-08-01 14:31:35+00:00,17820766,0x014d9eb89ccb80a89ad5e5ddf009cdf1de5549179282481df990e90ec8246654,0xb95813851c1Cb87da7f0853B9E3e8760A051556C,0x883E2496df47C07c7F2987691f99D491328D98C1,473,Approval,"{'owner': '0xb95813851c1cb87da7f0853b9e3e8760a051556c', 'spender': '0x7a250d5630b4cf539739df2c5dacb4c659f2488d', 'value': 1.157920892373162e+59, 'Known_router': 'True'}"
1,2023-08-01 14:33:23+00:00,17820775,0x0b71675ecca2ef707a3278705ef414ef389a8867f77ab21ba38ea833b3609cd1,0xb95813851c1Cb87da7f0853B9E3e8760A051556C,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,184,Transfer,"{'from': '0xb95813851c1cb87da7f0853b9e3e8760a051556c', 'to': '0x73acb9dfa8aa49bc17d8a59d5f4710d2b6ce21de', 'value': 20000000.0}"
1,2023-08-01 14:33:23+00:00,17820775,0x0b71675ecca2ef707a3278705ef414ef389a8867f77ab21ba38ea833b3609cd1,0xb95813851c1Cb87da7f0853B9E3e8760A051556C,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,185,Approval,"{'owner': '0xb95813851c1cb87da7f0853b9e3e8760a051556c', 'spender': '0x7a250d5630b4cf539739df2c5dacb4c659f2488d', 'value': 1.157920892373162e+59, 'Known_router': 'True'}"
1,2023-08-01 14:33:35+00:00,17820776,0xa17bc352a55795621e6286d38aca4ea3a48d2c25488d88b7e5eb82ef8dca5410,0xEf502C44331109489998E46D14dE470975594a25,0x2C57f6DFe219bE08d92Ea55F985311ABaEce89A5,226,Transfer,"{'from': '0x73acb9dfa8aa49bc17d8a59d5f4710d2b6ce21de', 'to': '0xef502c44331109489998e46d14de470975594a25', 'value': 49230.02123036249}"
1,2023-08-01 14:33:47+00:00,17820777,0x5fd853e052a5038de2860487331238b93a172a77c94791e931b43a61c5f0556f,0xEf502C44331109489998E46D14dE470975594a25,0x883E2496df47C07c7F2987691f99D491328D98C1,77,Approval,"{'owner': '0xef502c44331109489998e46d14de470975594a25', 'spender': '0x2c57f6dfe219be08d92ea55f985311abaece89a5', 'value': 1.157920892373162e+59, 'Known_router': 'False'}"
1,2023-08-01 14:34:11+00:00,17820779,0x0aae50f701d74ee5a37a76963b17c8864e2c17535cae5a4d1fb5d33ac9e789ce,0xCe8877C6C91D9475f13f647d16B6f18C70d78642,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,428,Transfer,"{'from': '0x73acb9dfa8aa49bc17d8a59d5f4710d2b6ce21de', 'to': '0xce8877c6c91d9475f13f647d16b6f18c70d78642', 'value': 141258.4801147356}"
1,2023-08-01 14:34:47+00:00,17820782,0x6a524476191501a42171f29b825e6864386928f916c991d1351029015f541b1b,0x74725C4D9d9E395dDBAECFafC927D8bcB97Fa5a8,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,263,Transfer,"{'from': '0x73acb9dfa8aa49bc17d8a59d5f4710d2b6ce21de', 'to': '0x74725c4d9d9e395ddbaecfafc927d8bcb97fa5a8', 'value': 146113.8972114057}"
1,2023-08-01 14:35:47+00:00,17820787,0xe1f3e5fc02567bf546bbf7b8978c3b8c87d82cbd5eacbaa69e0143684dd3d463,0x31f234DF9Ff794929e9d252e197ceb5f08849172,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,288,Transfer,"{'from': '0x73acb9dfa8aa49bc17d8a59d5f4710d2b6ce21de', 'to': '0x31f234df9ff794929e9d252e197ceb5f08849172', 'value': 268614.04366661736}"
1,2023-08-01 14:36:35+00:00,17820791,0x6929652dc94caad0c2440aee9486994077f82f0d17f2721748b0421c0692cb0b,0xc2f896a3de5e68826ccd7eFD67b71b5231B01b2B,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,131,Transfer,"{'from': '0x73acb9dfa8aa49bc17d8a59d5f4710d2b6ce21de', 'to': '0xc2f896a3de5e68826ccd7efd67b71b5231b01b2b', 'value': 198476.28504126988}"
1,2023-08-01 14:37:11+00:00,17820794,0x557604a5894b3c3f908622095a4041722c889237d3c6e99d18663cf3c9480aa4,0x5189faE15386dDFc1c54B53fe22865D56C349c43,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,128,Transfer,"{'from': '0x73acb9dfa8aa49bc17d8a59d5f4710d2b6ce21de', 'to': '0x5189fae15386ddfc1c54b53fe22865d56c349c43', 'value': 131612.07160164206}"
1,2023-08-01 14:37:47+00:00,17820797,0x855bafdb12d66d4bc382d7db333e1dc6f7cab6c4cf29ef9efce78366cf14ac81,0x72E4D2c6E767c53a0815676D3C487c744FC9b95c,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,210,Transfer,"{'from': '0x73acb9dfa8aa49bc17d8a59d5f4710d2b6ce21de', 'to': '0x72e4d2c6e767c53a0815676d3c487c744fc9b95c', 'value': 186918.07959664852}"
1,2023-08-01 14:38:23+00:00,17820800,0x9cb2059f0b10eaf5e326da3982db39341930825f4eb1532fafa7b543829ad9b6,0x1c02f5dC20A1B2a0644F59a0bcDCbc4A22A76A46,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,91,Transfer,"{'from': '0x73acb9dfa8aa49bc17d8a59d5f4710d2b6ce21de', 'to': '0x1c02f5dc20a1b2a0644f59a0bcdcbc4a22a76a46', 'value': 131318.1814862304}"
1,2023-08-01 14:38:23+00:00,17820800,0xa6ae17c37b0dbc1cac5eaea5c6a8e2babaf8b9523d2bad4f1a3cac8c1ddccb65,0xB5B97F3FC9a85e4Cbb4dfBB0Bb574C87AbF24a8B,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,205,Transfer,"{'from': '0x73acb9dfa8aa49bc17d8a59d5f4710d2b6ce21de', 'to': '0xb5b97f3fc9a85e4cbb4dfbb0bb574c87abf24a8b', 'value': 43686.39558333377}"
1,2023-08-01 14:38:35+00:00,17820801,0x68e71e44e26a2d7567a803c1c288ebf92f3ff9e8f6874c4c824652940ffbb792,0xB5B97F3FC9a85e4Cbb4dfBB0Bb574C87AbF24a8B,0x883E2496df47C07c7F2987691f99D491328D98C1,139,Approval,"{'owner': '0xb5b97f3fc9a85e4cbb4dfbb0bb574c87abf24a8b', 'spender': '0x7a250d5630b4cf539739df2c5dacb4c659f2488d', 'value': 1.157920892373162e+59, 'Known_router': 'True'}"
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,74,Approval,"{'owner': '0x1124e98c355b4893e1e6903c65dd0ea6ee7d076b', 'spender': '0x7a250d5630b4cf539739df2c5dacb4c659f2488d', 'value': 1.157920892373162e+59, 'Known_router': 'True'}"
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,76,Transfer,"{'from': '0x73acb9dfa8aa49bc17d8a59d5f4710d2b6ce21de', 'to': '0x1124e98c355b4893e1e6903c65dd0ea6ee7d076b', 'value': 16573445.309269689}"
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,79,Transfer,"{'from': '0x1124e98c355b4893e1e6903c65dd0ea6ee7d076b', 'to': '0x73acb9dfa8aa49bc17d8a59d5f4710d2b6ce21de', 'value': 16573445.309269689}"
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,80,Approval,"{'owner': '0x1124e98c355b4893e1e6903c65dd0ea6ee7d076b', 'spender': '0x7a250d5630b4cf539739df2c5dacb4c659f2488d', 'value': 1.157920892373162e+59, 'Known_router': 'True'}"
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,85,Transfer,"{'from': '0x73acb9dfa8aa49bc17d8a59d5f4710d2b6ce21de', 'to': '0x1124e98c355b4893e1e6903c65dd0ea6ee7d076b', 'value': 16562080.548132235}"
